Name,closed_in_time,total_applications,percent_closed_in_time,Progress,Date
Potholes,126,175,72,36,6/3/2019
road_cuts,0,0,NA,100,6/3/2019
trash_debris,57,57,100,133,6/3/2019
overgrowth,350,407,86,40,6/3/2019
No Heat,18,18,100,100,6/3/2019
No Water,2,2,100,100,6/3/2019
Fire Response,99,105,94,40,6/3/2019
Police Response,877,1103,80,-67,6/3/2019
