"","OKR","date_or_period","category_or_dept","variable","value"
"1","obj1kr1",1,"DPW_combined","budget variance",-45
"2","obj1kr1",2,"DPW_combined","budget variance",-8
"3","obj1kr1",3,"DPW_combined","budget variance",-10
"4","obj1kr1",4,"DPW_combined","budget variance",12
"5","obj1kr1",5,"DPW_combined","budget variance",-5
"6","obj1kr1",6,"DPW_combined","budget variance",-17
"7","obj1kr1",7,"DPW_combined","budget variance",-7
"8","obj1kr1",8,"DPW_combined","budget variance",-2
"9","obj1kr1",9,"DPW_combined","budget variance",-6
"10","obj1kr1",10,"DPW_combined","budget variance",-2
"11","obj1kr1",11,"DPW_combined","budget variance",5
"12","obj1kr1",1,"Executive_combined","budget variance",-19
"13","obj1kr1",2,"Executive_combined","budget variance",-33
"14","obj1kr1",3,"Executive_combined","budget variance",-13
"15","obj1kr1",4,"Executive_combined","budget variance",15
"16","obj1kr1",5,"Executive_combined","budget variance",-16
"17","obj1kr1",6,"Executive_combined","budget variance",-11
"18","obj1kr1",7,"Executive_combined","budget variance",10
"19","obj1kr1",8,"Executive_combined","budget variance",3
"20","obj1kr1",9,"Executive_combined","budget variance",44
"21","obj1kr1",10,"Executive_combined","budget variance",53
"22","obj1kr1",11,"Executive_combined","budget variance",12
"23","obj1kr1",1,"Finance_combined","budget variance",-22
"24","obj1kr1",2,"Finance_combined","budget variance",-22
"25","obj1kr1",3,"Finance_combined","budget variance",-7
"26","obj1kr1",4,"Finance_combined","budget variance",10
"27","obj1kr1",5,"Finance_combined","budget variance",1
"28","obj1kr1",6,"Finance_combined","budget variance",4
"29","obj1kr1",7,"Finance_combined","budget variance",0
"30","obj1kr1",8,"Finance_combined","budget variance",12
"31","obj1kr1",9,"Finance_combined","budget variance",-3
"32","obj1kr1",10,"Finance_combined","budget variance",-8
"33","obj1kr1",11,"Finance_combined","budget variance",-2
"34","obj1kr1",1,"Fire_combined","budget variance",-17
"35","obj1kr1",2,"Fire_combined","budget variance",-3
"36","obj1kr1",3,"Fire_combined","budget variance",7
"37","obj1kr1",4,"Fire_combined","budget variance",13
"38","obj1kr1",5,"Fire_combined","budget variance",10
"39","obj1kr1",6,"Fire_combined","budget variance",-6
"40","obj1kr1",7,"Fire_combined","budget variance",-7
"41","obj1kr1",8,"Fire_combined","budget variance",-3
"42","obj1kr1",9,"Fire_combined","budget variance",-7
"43","obj1kr1",10,"Fire_combined","budget variance",5
"44","obj1kr1",11,"Fire_combined","budget variance",7
"45","obj1kr1",1,"NBD_combined","budget variance",-26
"46","obj1kr1",2,"NBD_combined","budget variance",-36
"47","obj1kr1",3,"NBD_combined","budget variance",-17
"48","obj1kr1",4,"NBD_combined","budget variance",28
"49","obj1kr1",5,"NBD_combined","budget variance",-13
"50","obj1kr1",6,"NBD_combined","budget variance",-5
"51","obj1kr1",7,"NBD_combined","budget variance",-68
"52","obj1kr1",8,"NBD_combined","budget variance",68
"53","obj1kr1",9,"NBD_combined","budget variance",-3
"54","obj1kr1",10,"NBD_combined","budget variance",-11
"55","obj1kr1",11,"NBD_combined","budget variance",7
"56","obj1kr1",1,"Parks_combined","budget variance",-41
"57","obj1kr1",2,"Parks_combined","budget variance",4
"58","obj1kr1",3,"Parks_combined","budget variance",-21
"59","obj1kr1",4,"Parks_combined","budget variance",-7
"60","obj1kr1",5,"Parks_combined","budget variance",7
"61","obj1kr1",6,"Parks_combined","budget variance",19
"62","obj1kr1",7,"Parks_combined","budget variance",-16
"63","obj1kr1",8,"Parks_combined","budget variance",-4
"64","obj1kr1",9,"Parks_combined","budget variance",-7
"65","obj1kr1",10,"Parks_combined","budget variance",-19
"66","obj1kr1",11,"Parks_combined","budget variance",6
"67","obj1kr1",1,"Police_combined","budget variance",-33
"68","obj1kr1",2,"Police_combined","budget variance",-18
"69","obj1kr1",3,"Police_combined","budget variance",0
"70","obj1kr1",4,"Police_combined","budget variance",-90
"71","obj1kr1",5,"Police_combined","budget variance",82
"72","obj1kr1",6,"Police_combined","budget variance",-6
"73","obj1kr1",7,"Police_combined","budget variance",-1
"74","obj1kr1",8,"Police_combined","budget variance",-6
"75","obj1kr1",9,"Police_combined","budget variance",-10
"76","obj1kr1",10,"Police_combined","budget variance",-5
"77","obj1kr1",11,"Police_combined","budget variance",30
"78","obj1kr1",1,"Water_combined","budget variance",-35
"79","obj1kr1",2,"Water_combined","budget variance",-26
"80","obj1kr1",3,"Water_combined","budget variance",26
"81","obj1kr1",4,"Water_combined","budget variance",44
"82","obj1kr1",5,"Water_combined","budget variance",27
"83","obj1kr1",6,"Water_combined","budget variance",-8
"84","obj1kr1",7,"Water_combined","budget variance",-6
"85","obj1kr1",8,"Water_combined","budget variance",-8
"86","obj1kr1",9,"Water_combined","budget variance",20
"87","obj1kr1",10,"Water_combined","budget variance",-32
"88","obj1kr1",11,"Water_combined","budget variance",-13
